player_id,player_name,pass_success,pass_cross_accurate,pass_long_ball_accurate,pass_through_ball_accurate,minutes_played,matches_played,PVS,rating,cross_accuracy,pass_success_accuracy,long_ball_accuracy,through_ball_accuracy,Cluster
136741,Bernardo Silva,2035.0,25.0,2035.0,3.0,1914,23,305.3391304347826,6.810434782608695,25.0,88.47826086956522,88.47826086956522,3.0,2
301440,Ezri Konsa,2026.7,5.0,2026.7,18.0,1902,22,308.34090909090907,6.543636363636364,5.0,92.12272727272727,92.12272727272727,18.0,0
401168,Mikkel Damsgaard,1974.7,24.0,1974.7,9.0,1892,25,288.33799999999997,7.115600000000001,24.0,78.988,78.988,9.0,2
366116,Iliman Ndiaye,2008.5,25.0,2008.5,6.0,1883,24,296.4479166666667,7.0575,25.0,83.6875,83.6875,6.0,2
136742,Jan Bednarek,1911.8,5.0,1911.8,59.0,1874,21,321.71190476190475,6.765238095238095,5.0,91.03809523809524,91.03809523809524,59.0,0
388650,Jurriën Timber,1824.1,12.0,1824.1,14.0,1851,22,288.1068181818182,6.766818181818182,12.0,82.91363636363636,82.91363636363636,14.0,2
128882,Ryan Christie,1983.1,26.0,1983.1,19.0,1849,24,295.33958333333334,6.975833333333333,26.0,82.62916666666666,82.62916666666666,19.0,2
326413,Kai Havertz,1596.9,52.0,1596.9,64.0,1842,21,283.5238095238095,7.086190476190477,52.0,76.04285714285714,76.04285714285714,64.0,2
318871,Trent Alexander-Arnold,1836.0,32.0,1836.0,2.0,1836,24,282.9145833333333,7.137083333333333,32.0,76.5,76.5,2.0,2
89925,Lucas Digne,2074.6,13.0,2074.6,29.0,1827,25,292.618,6.744800000000001,13.0,82.984,82.984,29.0,0
345319,Alexis Mac Allister,2061.2,26.0,2061.2,15.0,1818,24,301.9375,7.019583333333333,26.0,85.88333333333333,85.88333333333333,15.0,2
101856,Christian Nørgaard,1811.3,22.0,1811.3,30.0,1795,22,293.40000000000003,6.867272727272728,22.0,82.33181818181818,82.33181818181818,30.0,2
